"","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021","2022","2023"
"24",-0.0139769165742072,-0.0191883307299721,-0.0223177409983846,-0.0285789651793413,-0.0344750242654364,-0.0459112847553342,-0.0604227519619327,-0.0756787630405862,-0.0831642374628352,-0.086234374219325,-0.0856832848386357,-0.0476208945549637,-0.0501792940718016,-0.0900584855601414,-0.0924356581801398
"25",-0.0155661530989804,-0.0210294737042922,-0.0233563403882453,-0.030579769547626,-0.0366116302609498,-0.0429964065644759,-0.0541939304491565,-0.071970349965869,-0.0842948221027813,-0.0877446331865821,-0.0874709572086489,-0.0142085470241513,-0.0167417781637678,-0.0901697735784559,-0.0925543500089017
"26",-0.0177111075563703,-0.022515125057418,-0.0250157381884648,-0.031440671300369,-0.0383371086424189,-0.0448169915640149,-0.0509928559137114,-0.0654752317356904,-0.0828692847434302,-0.0894021480282525,-0.0885451082412549,0.0154610166688114,0.0107386388964015,-0.0890875915608635,-0.0916440190057406
"27",-0.0197895288655099,-0.0245669231842811,-0.0264844199960512,-0.0329824091530302,-0.0390693975587499,-0.0463278285483844,-0.0525245447523055,-0.062026782913934,-0.0791166719741696,-0.090138555654355,-0.090919899406078,0.0292625193563483,0.0206976500885041,-0.0893553763809996,-0.0902835969151452
"28",-0.0201589571302243,-0.0262775761897576,-0.0282239717562733,-0.0340584198282965,-0.0402337642703232,-0.0466358403947451,-0.0536178862749983,-0.063166230119057,-0.0767010380855044,-0.0884416608183773,-0.0931773273874201,0.0291398258893709,0.015616493456748,-0.0897373780411996,-0.0902796603321816
"29",-0.0211625706045195,-0.0264637414377358,-0.0296664565765159,-0.0356418789082156,-0.0411045154038323,-0.0475802306611151,-0.053712027626462,-0.0640906326530626,-0.0772998709460992,-0.087079192346657,-0.0932256149199704,0.0275824615383273,0.00438088474693465,-0.0904819543853632,-0.0910176782984582
"30",-0.0230902779014084,-0.0274415054708532,-0.029878630041603,-0.0372007314376619,-0.0426966420617587,-0.0485708739389912,-0.0548901242748032,-0.0644317702883868,-0.0784461938434111,-0.0877876157252864,-0.0931516932557139,0.0269916169419968,-0.00980552820382208,-0.0933981546238396,-0.0924609924478963
"31",-0.024843593118594,-0.0293732646448026,-0.0309328320949973,-0.0375172206107353,-0.0444322930985024,-0.0503004264156734,-0.0559985146514093,-0.0657036816121872,-0.0792623437468922,-0.0893187824796646,-0.0941750532828722,0.0260127048801211,-0.0227524259952236,-0.096917725204662,-0.0959708633223562
"32",-0.0243177851759313,-0.0307896135345755,-0.0325334712221332,-0.0382236968306602,-0.0443950575023715,-0.0516425392524935,-0.0573707749653352,-0.0664038170733328,-0.0800109910539071,-0.0900431703112812,-0.0953703769269305,0.0239780886958956,-0.0338148230278508,-0.0977311545315329,-0.099174096747344
"33",-0.0257730295546672,-0.0301910534201042,-0.0338612841670116,-0.0397132641139413,-0.044973585763687,-0.0514521357073408,-0.0585256986159273,-0.0676397242072735,-0.0799330026184624,-0.0905197462649081,-0.0962244465840634,0.020037275045552,-0.0448968993932182,-0.0976358376270658,-0.0997825841349034
